Policy Number,Age,Age Band,Years of Driving Experience,Number of Vehicles,Gender,Gender Dummy,Married,Married Dummy,Vehicle Age,Vehicle Age Band,Fuel Type,Fuel Type Dummy,Losses,Count,Capped Losses
150023,24,16-25,5,1,M,1,Married,0,11,11+,P,0,203,1,203
152720,31,26-59,10,1,F,0,Single,1,6,10-Jun,P,0,402,1,402
174207,56,26-59,37,1,M,1,Married,0,0,0-5,D,1,553,1,553
139895,52,26-59,31,1,F,0,Married,0,15,11+,P,0,292,1,292
174407,20,16-25,3,1,M,1,Single,1,15,11+,P,0,247,1,247
170545,29,26-59,8,1,M,1,Married,0,9,10-Jun,P,0,385,1,385
123164,36,26-59,19,1,F,0,Single,1,0,0-5,P,0,462,1,462
147118,67,60+,49,1,F,0,Married,0,15,11+,P,0,169,1,169
119842,69,60+,48,1,M,1,Single,1,5,0-5,P,0,70,1,70
192628,16,16-25,0,1,F,0,Single,1,14,11+,P,0,243,1,243
154593,19,16-25,1,1,M,1,Single,1,12,11+,D,1,764,1,764
182495,29,26-59,8,1,F,0,Single,1,14,11+,P,0,407,1,407
173214,20,16-25,1,1,F,0,Married,0,13,11+,P,0,162,1,162
124315,67,60+,49,1,M,1,Married,0,7,10-Jun,P,0,243,1,243
189976,46,26-59,27,1,M,1,Married,0,7,10-Jun,P,0,359,1,359
109823,57,26-59,40,1,M,1,Married,0,15,11+,P,0,315,1,315
140529,65,60+,48,1,M,1,Single,1,11,11+,P,0,307,1,307
108345,20,16-25,1,1,M,1,Single,1,15,11+,D,1,773,1,773
197526,67,60+,49,1,M,1,Single,1,3,0-5,D,1,593,1,593
164235,62,60+,45,1,M,1,Married,0,0,0-5,P,0,275,1,275
112321,44,26-59,27,1,F,0,Single,1,10,10-Jun,P,0,473,1,473
140896,17,16-25,0,1,M,1,Single,1,15,11+,D,1,877,1,877
136526,29,26-59,10,1,F,0,Single,1,0,0-5,D,1,825,1,825
177965,66,60+,49,1,F,0,Single,1,6,10-Jun,P,0,273,1,273
154647,22,16-25,3,1,F,0,Single,1,11,11+,P,0,221,1,221
127564,33,26-59,16,1,M,1,Single,1,13,11+,P,0,169,1,169
180980,69,60+,48,1,F,0,Married,0,0,0-5,P,0,98,1,98
173004,39,26-59,22,1,M,1,Married,0,3,0-5,D,1,680,1,680
168613,41,26-59,22,1,F,0,Married,0,13,11+,P,0,210,1,210
102189,20,16-25,2,1,F,0,Married,0,8,10-Jun,P,0,354,1,354
190883,68,60+,49,1,F,0,Married,0,9,10-Jun,P,0,156,1,156
162323,31,26-59,12,1,M,1,Married,0,4,0-5,D,1,671,1,671
124254,30,26-59,13,1,M,1,Single,1,1,0-5,P,0,447,1,447
168484,64,60+,47,1,M,1,Married,0,5,0-5,P,0,109,1,109
184955,68,60+,47,1,F,0,Married,0,7,10-Jun,P,0,120,1,120
188699,49,26-59,30,1,M,1,Single,1,10,10-Jun,P,0,455,1,455
