transaction_id,Prod1,Prod2,Prod3
100001,D,E,I
100002,B,G,I
100003,B,F,I
100004,D,F,H
100005,C,F,I
100006,D,G,H
100007,A,G,I
100008,B,F,I
100009,D,F,I
100010,C,G,I
100011,B,E,I
100012,D,E,I
100013,C,G,H
100014,B,G,I
100015,C,G,H
100016,B,G,H
100017,B,F,I
100018,B,F,H
100019,B,E,H
100020,A,E,I
100021,C,G,I
100022,B,E,H
100023,C,G,I
100024,A,F,I
100025,C,G,H
100026,D,F,I
100027,A,G,H
100028,D,G,I
100029,C,E,H
100030,D,G,I
100031,C,E,I
100032,B,F,I
100033,D,F,I
100034,C,G,I
100035,B,G,H
100036,A,E,I
100037,A,F,H
100038,A,E,H
100039,B,E,I
100040,C,G,H
100041,A,F,I
100042,C,E,H
100043,B,E,I
100044,C,E,H
100045,B,E,I
100046,B,E,H
100047,B,G,H
100048,B,F,H
100049,C,G,H
100050,B,E,H
100051,D,G,I
100052,C,F,H
100053,A,G,I
100054,B,E,H
100055,B,E,I
100056,A,F,H
100057,D,G,H
100058,A,G,I
100059,C,F,I
100060,A,E,H
100061,D,G,H
100062,A,G,I
100063,B,G,H
100064,B,F,H
100065,D,F,I
100066,B,E,H
100067,D,F,H
100068,D,F,H
100069,B,G,I
100070,C,F,I
100071,D,G,I
100072,B,E,H
100073,C,G,H
100074,A,F,I
100075,D,E,I
100076,C,G,H
100077,D,E,I
100078,A,G,H
100079,A,E,H
100080,A,F,H
100081,A,F,I
100082,B,G,I
100083,C,F,I
100084,B,G,H
100085,B,E,H
100086,B,G,I
100087,B,E,H
100088,C,E,I
100089,B,G,H
100090,C,G,I
100091,B,F,I
100092,A,F,I
100093,C,G,H
100094,D,E,I
100095,B,E,I
100096,C,F,I
100097,B,G,I
100098,C,E,I
100099,D,G,H
100100,A,G,I
100101,A,G,H
100102,B,G,H
100103,D,E,H
100104,A,F,H
100105,B,E,H
100106,A,F,H
100107,D,E,I
100108,D,F,H
100109,C,E,I
100110,B,G,I
100111,D,G,H
100112,C,E,H
100113,B,F,H
100114,D,G,H
100115,B,E,H
100116,C,G,H
100117,D,E,H
100118,B,E,I
100119,B,G,H
100120,D,E,I
100121,B,F,I
100122,D,E,I
100123,D,E,H
100124,A,F,H
100125,C,E,H
100126,B,G,H
100127,B,G,I
100128,A,G,I
100129,B,G,H
100130,A,G,H
