"","Policy.Number","Age","Years.of.Driving.Experience","Number.of.Vehicles","Gender.Dummy","Married.Dummy","Vehicle.Age","Fuel.Type.Dummy","cluster","clusterfactor"
"1",150023,24,5,1,1,0,11,0,1,"1"
"2",152720,31,10,1,0,1,6,0,1,"1"
"3",174207,56,37,1,1,0,0,1,3,"3"
"4",139895,52,31,1,0,0,15,0,2,"2"
"5",174407,20,3,1,1,1,15,0,1,"1"
"6",170545,29,8,1,1,0,9,0,1,"1"
"7",123164,36,19,1,0,1,0,0,2,"2"
"8",147118,67,49,1,0,0,15,0,3,"3"
"9",119842,69,48,1,1,1,5,0,3,"3"
"10",192628,16,0,1,0,1,14,0,1,"1"
"11",154593,19,1,1,1,1,12,1,1,"1"
"12",182495,29,8,1,0,1,14,0,1,"1"
"13",173214,20,1,1,0,0,13,0,1,"1"
"14",124315,67,49,1,1,0,7,0,3,"3"
"15",189976,46,27,1,1,0,7,0,2,"2"
"16",109823,57,40,1,1,0,15,0,3,"3"
"17",140529,65,48,1,1,1,11,0,3,"3"
"18",108345,20,1,1,1,1,15,1,1,"1"
"19",197526,67,49,1,1,1,3,1,3,"3"
"20",164235,62,45,1,1,0,0,0,3,"3"
"21",112321,44,27,1,0,1,10,0,2,"2"
"22",140896,17,0,1,1,1,15,1,1,"1"
"23",136526,29,10,1,0,1,0,1,1,"1"
"24",177965,66,49,1,0,1,6,0,3,"3"
"25",154647,22,3,1,0,1,11,0,1,"1"
"26",127564,33,16,1,1,1,13,0,2,"2"
"27",180980,69,48,1,0,0,0,0,3,"3"
"28",173004,39,22,1,1,0,3,1,2,"2"
"29",168613,41,22,1,0,0,13,0,2,"2"
"30",102189,20,2,1,0,0,8,0,1,"1"
"31",190883,68,49,1,0,0,9,0,3,"3"
"32",162323,31,12,1,1,0,4,1,1,"1"
"33",124254,30,13,1,1,1,1,0,1,"1"
"34",168484,64,47,1,1,0,5,0,3,"3"
"35",184955,68,47,1,0,0,7,0,3,"3"
"36",188699,49,30,1,1,1,10,0,2,"2"
"37",152298,23,4,1,1,1,10,1,1,"1"
"38",137739,50,32,1,1,1,13,0,2,"2"
"39",102090,39,18,1,0,1,3,1,2,"2"
"40",164014,35,14,1,0,1,6,0,2,"2"
"41",140277,38,20,1,1,0,1,1,2,"2"
"42",183688,66,47,1,1,1,0,0,3,"3"
"43",189679,58,39,1,0,1,2,0,3,"3"
"44",139993,25,6,1,1,1,12,1,1,"1"
"45",101061,45,26,1,1,0,9,0,2,"2"
"46",163029,48,29,1,1,0,12,0,2,"2"
"47",196673,18,1,1,1,1,7,1,1,"1"
"48",154414,40,19,1,0,1,9,0,2,"2"
"49",152345,17,0,1,1,0,11,0,1,"1"
"50",159755,32,12,1,1,0,15,0,1,"1"
"51",196090,25,6,1,1,0,9,1,1,"1"
"52",124743,56,36,1,1,1,9,0,3,"3"
"53",160933,67,47,1,0,0,4,0,3,"3"
"54",170212,60,41,1,0,0,8,0,3,"3"
"55",174318,60,41,1,0,1,2,1,3,"3"
"56",182975,16,0,1,1,1,8,1,1,"1"
"57",127853,42,21,1,1,1,11,0,2,"2"
"58",101368,20,1,1,0,0,14,0,1,"1"
"59",168719,40,19,1,1,1,8,1,2,"2"
"60",131825,16,0,1,1,0,15,0,1,"1"
"61",198279,70,51,1,1,1,7,0,3,"3"
"62",118353,20,3,1,0,0,15,0,1,"1"
"63",164749,28,9,1,1,1,5,1,1,"1"
"64",180133,28,10,1,0,1,3,1,1,"1"
"65",174077,20,2,1,0,0,9,0,1,"1"
"66",155060,22,3,1,1,1,4,1,1,"1"
"67",150870,20,2,1,1,0,12,0,1,"1"
"68",180138,64,47,1,1,0,11,0,3,"3"
"69",185934,44,25,1,0,1,13,0,2,"2"
"70",153908,17,0,1,1,1,12,1,1,"1"
"71",169358,22,4,1,1,0,14,0,1,"1"
"72",153822,61,40,1,1,1,5,0,3,"3"
"73",140129,22,4,1,0,1,13,0,1,"1"
"74",122434,60,42,1,0,1,12,0,3,"3"
"75",149010,17,0,1,1,0,14,0,1,"1"
"76",151476,17,0,1,0,1,11,0,1,"1"
"77",106521,63,43,1,0,1,4,0,3,"3"
"78",168963,41,20,1,1,0,6,0,2,"2"
"79",115414,65,48,1,1,1,15,0,3,"3"
"80",164992,26,7,1,0,0,5,1,1,"1"
"81",133639,59,42,1,1,1,11,0,3,"3"
"82",122437,66,45,1,0,0,12,0,3,"3"
"83",137595,29,8,1,1,1,5,1,1,"1"
"84",187253,21,2,1,0,0,13,0,1,"1"
"85",156504,21,3,1,1,0,13,0,1,"1"
"86",162843,64,46,1,0,0,11,0,3,"3"
"87",115549,36,17,1,0,0,7,0,2,"2"
"88",135122,46,27,1,1,1,10,1,2,"2"
"89",160917,60,42,1,1,0,13,0,3,"3"
"90",185458,25,8,1,1,0,15,1,1,"1"
"91",160510,47,30,1,0,0,6,0,2,"2"
"92",140871,24,6,1,1,1,13,0,1,"1"
"93",176448,40,23,1,1,0,1,1,2,"2"
"94",198278,21,2,1,0,1,14,0,1,"1"
"95",172292,35,16,1,0,1,7,0,2,"2"
"96",193942,70,53,1,0,0,8,0,3,"3"
"97",171408,48,27,1,1,1,0,1,2,"2"
"98",191865,62,44,1,0,1,2,0,3,"3"
"99",195418,50,29,1,1,1,8,1,2,"2"
"100",128036,67,50,1,1,1,6,0,3,"3"
"101",199870,54,34,1,1,0,9,0,3,"3"
"102",147315,25,8,1,1,1,5,1,1,"1"
